,id,food_id,nutrient_id,amount,min,max,median
108,2219712,321358,1162,0.0,0.0,0.0,0.0
109,2219772,321358,1260,0.0,0.0,0.0,0.0
110,2219755,321358,1107,12.0,,,12.0
111,2219776,321358,1267,0.079,0.072,0.083,0.08
112,2219768,321358,1321,0.02,0.011,0.029,0.018
113,2219782,321358,1167,0.948,0.82,1.09,0.95
114,2219714,321358,1166,0.115,0.08,0.14,0.12
115,2219733,321358,1317,0.001,,,
116,2219710,321358,1130,0.0,0.0,0.0,0.0
117,2219720,321358,1261,0.0,0.0,0.0,0.0
118,13338510,321358,2047,243.0,,,
119,13338412,321358,2048,229.0,,,
120,2219937,321359,1313,0.0,0.0,0.001,0.0
121,2219923,321359,1002,0.53,0.47,0.58,0.52
122,2219957,321359,1161,0.0,0.0,0.0,0.0
123,2219880,321359,1005,4.91,,,
124,2219875,321359,1106,83.0,,,
125,2219964,321359,1197,11.0,10.1,12.2,10.9
126,2219931,321359,1311,0.007,0.006,0.009,0.007
127,2219883,321359,1292,0.4,0.36,0.43,0.4
128,2219866,321359,1226,0.332,0.26,0.37,0.345
129,2219956,321359,1159,1.0,0.0,1.0,1.0
130,2219873,321359,1223,0.291,0.26,0.32,0.295
131,2219876,321359,1114,1.1,,,
132,2219867,321359,1212,0.173,0.16,0.2,0.175
133,2219886,321359,1126,0.0,0.0,0.0,0.0
134,2219852,321359,1278,0.0,0.0,0.001,0.0
135,2219979,321359,2026,0.0,,,
136,2219837,321359,1261,0.021,0.018,0.023,0.02
137,2219863,321359,1222,0.113,0.1,0.13,0.11
138,2219868,321359,1213,0.335,0.31,0.37,0.335
139,2219896,321359,1120,0.0,0.0,0.0,0.0
140,2219924,321359,1113,0.0,0.0,0.0,0.0
141,2219895,321359,1108,0.0,0.0,0.0,0.0
142,2219888,321359,1129,0.0,0.0,0.0,0.0
143,2219861,321359,1217,0.163,0.15,0.19,0.16
144,2219828,321359,1175,0.061,0.054,0.068,0.06
145,2219905,321359,1012,0.0,0.0,0.0,0.0
146,2219974,321359,2020,0.002,,,
147,2219960,321359,2028,2.0,1.0,2.0,2.0
148,2219904,321359,1075,0.0,0.0,0.0,0.0
149,2219897,321359,1122,0.0,0.0,0.0,0.0
150,2219932,321359,1306,0.009,0.005,0.012,0.01
151,2219846,321359,1276,0.0,0.0,0.0,0.0
152,2219903,321359,1228,0.0,0.0,0.0,0.0
153,2219877,321359,1257,0.07,0.06,0.08,0.07
154,2219871,321359,1220,0.125,0.11,0.14,0.125
155,2219921,321359,1101,0.001,0.0,0.003,0.0
156,2219882,321359,1331,0.0,,,
157,2219891,321359,1011,0.0,0.0,0.0,0.0
158,2219963,321359,1194,3.1,2.5,3.7,2.9
159,2219922,321359,1178,0.55,0.45,0.65,0.55
160,2219878,321359,1258,1.11,0.96,1.25,1.12
161,2219842,321359,1300,0.011,0.009,0.014,0.01
162,2219906,321359,1013,4.89,4.56,5.55,4.78
163,2219885,321359,1125,0.0,0.0,0.0,0.0
164,2219944,321359,1305,0.0,0.0,0.0,0.0
165,2219939,321359,1414,0.0,0.0,0.0,0.0
166,2219975,321359,2022,0.003,,,
167,2219958,321359,1160,0.0,0.0,0.0,0.0
168,2219942,321359,2015,0.0,0.0,0.0,0.0
169,2219845,321359,1271,0.003,0.002,0.003,0.003
170,2219973,321359,2018,0.007,,,
171,2219952,321359,2004,0.0,0.0,0.0,0.0
